name,source,discovery_query,repo_url,kept,decision,status,score,license,description,tech_stack,build_method,install_method,harmony_pc_evidence,open_source_evidence,risk,last_checked
zhangmingxiang01/trenderRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/zhangmingxiang01/trenderRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,news push,HTML,,,,公开源码仓库: https://github.com/zhangmingxiang01/trenderRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
awoele/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/awoele/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,Free public TrendRadar reports via GitHub Pages,Python,,,,公开源码仓库: https://github.com/awoele/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
Memory455/TrendRadar3Daily,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Memory455/TrendRadar3Daily,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/Memory455/TrendRadar3Daily; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
J1ezds/some-star,GitHub repo search,鸿蒙 PC Markdown,https://github.com/J1ezds/some-star,False,filtered: score below 40,buildable,35,Unlicense,github star 分类汇总,"Qt, Electron, C++, Rust, Go, Python","qmake, cmake",源码编译,"发现鸿蒙相关构建/工程线索: qmake, cmake",公开源码仓库: https://github.com/J1ezds/some-star; LICENSE: Unlicense; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 可能依赖高权限或系统能力,2026-06-30
Ualker/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Ualker/TrendRadar,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/Ualker/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
yw-sj/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/yw-sj/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/yw-sj/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
cesszlr/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/cesszlr/TrendRadar,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/cesszlr/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
robot-guo/AInews,GitHub repo search,鸿蒙 PC Markdown,https://github.com/robot-guo/AInews,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/robot-guo/AInews; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
huaieli/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/huaieli/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/huaieli/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
GarronMeng/trending,GitHub repo search,鸿蒙 PC Markdown,https://github.com/GarronMeng/trending,True,kept,buildable,50,GPL-3.0,1,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/GarronMeng/trending; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
sky-L/friendly-invention,GitHub repo search,鸿蒙 PC Markdown,https://github.com/sky-L/friendly-invention,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/sky-L/friendly-invention; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
HN-LIU/My-TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/HN-LIU/My-TrendRadar,True,kept,buildable,50,GPL-3.0,,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/HN-LIU/My-TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
dick318/awesome-stars,GitHub repo search,鸿蒙 PC Markdown,https://github.com/dick318/awesome-stars,False,filtered: score below 40,buildable,15,License 不明确,,"Qt, Electron, C++, Rust, Go, Flutter, WebView","Stage Model, qmake",,"发现鸿蒙相关构建/工程线索: Stage Model, qmake",公开源码仓库: https://github.com/dick318/awesome-stars; README 可访问; 源码目录结构可访问,License 不明确; 缺少明确 PC 运行证据; 可能依赖高权限或系统能力,2026-06-30
sgd666/news,GitHub repo search,鸿蒙 PC Markdown,https://github.com/sgd666/news,True,kept,buildable,50,GPL-3.0,,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/sgd666/news; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
njugray/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/njugray/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/njugray/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
dxzyw/tt,GitHub repo search,鸿蒙 PC Markdown,https://github.com/dxzyw/tt,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/dxzyw/tt; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
hu-qi/ohpm-awesome,GitHub repo search,鸿蒙 PC Markdown,https://github.com/hu-qi/ohpm-awesome,False,filtered: score below 40,buildable,35,MIT,https://hu-qi.github.io/ohpm-awesome/,"ArkTS, Qt, C++, Rust, Flutter, WebView, Python","hvigor, ArkTS, Stage Model, qmake",应用市场,"发现鸿蒙相关构建/工程线索: hvigor, ArkTS, Stage Model, qmake",公开源码仓库: https://github.com/hu-qi/ohpm-awesome; LICENSE: MIT; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 可能依赖高权限或系统能力,2026-06-30
Frog755/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Frog755/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/Frog755/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
yangyituo1231/Trendradar-sports-news,GitHub repo search,鸿蒙 PC Markdown,https://github.com/yangyituo1231/Trendradar-sports-news,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/yangyituo1231/Trendradar-sports-news; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
ShawnGCoding/TrendRadarTemplate,GitHub repo search,鸿蒙 PC Markdown,https://github.com/ShawnGCoding/TrendRadarTemplate,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/ShawnGCoding/TrendRadarTemplate; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
sunl611/newTread,GitHub repo search,鸿蒙 PC Markdown,https://github.com/sunl611/newTread,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,多平台热点聚合+基于 MCP 的AI分析工具,HTML,,,,公开源码仓库: https://github.com/sunl611/newTread; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
25yingjiesheng/-,GitHub repo search,鸿蒙 PC Markdown,https://github.com/25yingjiesheng/-,True,kept,buildable,50,GPL-3.0,实时观看新闻,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/25yingjiesheng/-; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
marvin5064/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/marvin5064/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,A newsfeed for myself,HTML,,,,公开源码仓库: https://github.com/marvin5064/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
utensil/awesome-stars,GitHub repo search,鸿蒙 PC Markdown,https://github.com/utensil/awesome-stars,False,filtered: missing HarmonyOS PC executable/build evidence,,0,License 不明确,A curated list of my GitHub stars!,,,,,公开源码仓库: https://github.com/utensil/awesome-stars; 源码目录结构可访问,License 不明确; 缺少明确 PC 运行证据; 构建步骤不完整; README 信息较少,2026-06-30
tieud6801-art/news,GitHub repo search,鸿蒙 PC Markdown,https://github.com/tieud6801-art/news,True,kept,buildable,50,GPL-3.0,,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/tieud6801-art/news; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
na1ve-jetus/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/na1ve-jetus/TrendRadar,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/na1ve-jetus/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
liudatupo/TrendRadar88888,GitHub repo search,鸿蒙 PC Markdown,https://github.com/liudatupo/TrendRadar88888,True,kept,buildable,50,GPL-3.0,,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/liudatupo/TrendRadar88888; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
hanle03/TrendRadarCopy,GitHub repo search,鸿蒙 PC Markdown,https://github.com/hanle03/TrendRadarCopy,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,临时复制 sansan0/TrendRadar，源项目地址：,HTML,,,,公开源码仓库: https://github.com/hanle03/TrendRadarCopy; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
Technetium1/stars,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Technetium1/stars,False,filtered: missing HarmonyOS PC executable/build evidence,,5,MIT,My stars. View raw for full list.,,,,,公开源码仓库: https://github.com/Technetium1/stars; LICENSE: MIT; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整; README 信息较少,2026-06-30
silentEAG/awesome-stars,GitHub repo search,鸿蒙 PC Markdown,https://github.com/silentEAG/awesome-stars,False,filtered: score below 40,buildable,35,CC0-1.0,My Awesome List,"Qt, Electron, C++, Rust, Go, Flutter","qmake, cmake",,"发现鸿蒙相关构建/工程线索: qmake, cmake",公开源码仓库: https://github.com/silentEAG/awesome-stars; LICENSE: CC0-1.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 可能依赖高权限或系统能力,2026-06-30
ruan-cat/stars-list,GitHub repo search,鸿蒙 PC Markdown,https://github.com/ruan-cat/stars-list,False,filtered: score below 40,buildable,35,CC0-1.0,阮喵喵的github stars列表。由github workflow自动生成并更新。,"Qt, Electron, C++, Rust, Go, Flutter, WebView, Shell",npm,,发现鸿蒙相关构建/工程线索: npm,公开源码仓库: https://github.com/ruan-cat/stars-list; LICENSE: CC0-1.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 可能依赖高权限或系统能力,2026-06-30
andrew/ultimate-awesome,GitHub repo search,鸿蒙 PC Markdown,https://github.com/andrew/ultimate-awesome,False,filtered: missing HarmonyOS PC executable/build evidence,,5,CC0-1.0,"Every awesome list on every topic, including awesome lists of awesome lists, updated daily.",,,,,公开源码仓库: https://github.com/andrew/ultimate-awesome; LICENSE: CC0-1.0; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整; README 信息较少,2026-06-30
sunshine5683/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/sunshine5683/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/sunshine5683/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
lollihub/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/lollihub/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/lollihub/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
Snownamida/TrendRadar-Namida,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Snownamida/TrendRadar-Namida,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/Snownamida/TrendRadar-Namida; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
Gui-Yun/trend-radar-fork,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Gui-Yun/trend-radar-fork,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/Gui-Yun/trend-radar-fork; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
Memory455/TrendRadar3,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Memory455/TrendRadar3,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/Memory455/TrendRadar3; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
VnAxle/trendradartemplate,GitHub repo search,鸿蒙 PC Markdown,https://github.com/VnAxle/trendradartemplate,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/VnAxle/trendradartemplate; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
DjgMyGit/CopyTrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/DjgMyGit/CopyTrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/DjgMyGit/CopyTrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
sy-l123/sy-TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/sy-l123/sy-TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/sy-l123/sy-TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
lijmin/TrendRadar2,GitHub repo search,鸿蒙 PC Markdown,https://github.com/lijmin/TrendRadar2,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/lijmin/TrendRadar2; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
yoyozhouzhou/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/yoyozhouzhou/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/yoyozhouzhou/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
yangloft/PacificBlue,GitHub repo search,鸿蒙 PC Markdown,https://github.com/yangloft/PacificBlue,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,太平洋蓝,HTML,,,,公开源码仓库: https://github.com/yangloft/PacificBlue; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
BOR77777/BOR,GitHub repo search,鸿蒙 PC Markdown,https://github.com/BOR77777/BOR,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/BOR77777/BOR; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
name02358/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/name02358/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/name02358/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
ccdd6514/my-trendradar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/ccdd6514/my-trendradar,True,kept,buildable,50,GPL-3.0,my-trendradar,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/ccdd6514/my-trendradar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
LeilaoMi/hot-news-radar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/LeilaoMi/hot-news-radar,True,kept,buildable,50,GPL-3.0,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 + RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 + AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。","Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/LeilaoMi/hot-news-radar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
chenanxxn2023-beep/TrendRadar-Deploy,GitHub repo search,鸿蒙 PC Markdown,https://github.com/chenanxxn2023-beep/TrendRadar-Deploy,True,kept,buildable,50,GPL-3.0,,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/chenanxxn2023-beep/TrendRadar-Deploy; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
ET-1/NewsTrend,GitHub repo search,鸿蒙 PC Markdown,https://github.com/ET-1/NewsTrend,True,kept,buildable,50,GPL-3.0,,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/ET-1/NewsTrend; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
ChunlinGuo/TrendRadar-monitor,GitHub repo search,鸿蒙 PC Markdown,https://github.com/ChunlinGuo/TrendRadar-monitor,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/ChunlinGuo/TrendRadar-monitor; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
temp-fox/TR-plus,GitHub repo search,鸿蒙 PC Markdown,https://github.com/temp-fox/TR-plus,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/temp-fox/TR-plus; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
Yuuqq/PulseRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Yuuqq/PulseRadar,True,kept,buildable,50,GPL-3.0,,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/Yuuqq/PulseRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
krzemienski/awesome-from-stars,GitHub repo search,鸿蒙 PC Markdown,https://github.com/krzemienski/awesome-from-stars,False,filtered: missing HarmonyOS PC executable/build evidence,,0,License 不明确,,Python,,,,公开源码仓库: https://github.com/krzemienski/awesome-from-stars; 源码目录结构可访问,License 不明确; 缺少明确 PC 运行证据; 构建步骤不完整; README 信息较少,2026-06-30
yukinami/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/yukinami/TrendRadar,True,kept,buildable,50,GPL-3.0,,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/yukinami/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
aidi1723/news,GitHub repo search,鸿蒙 PC Markdown,https://github.com/aidi1723/news,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/aidi1723/news; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
acoolalien/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/acoolalien/TrendRadar,True,kept,buildable,50,GPL-3.0,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 + RSS 订阅，支持关键词精准筛选。AI 智能筛选新闻 + AI 翻译 + AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。","Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/acoolalien/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
Jzoooooon/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Jzoooooon/TrendRadar,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,🎯 告别信息过载，AI 助你看懂新闻资讯热点，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+AI对话分析（用自然语言深度挖掘新闻：趋势追踪、情感分析、相似检索等13种工具）。支持企业微信/个人微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 推送，1分钟手机通知，无需编程。,HTML,,,,公开源码仓库: https://github.com/Jzoooooon/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
shifengbin/News,GitHub repo search,鸿蒙 PC Markdown,https://github.com/shifengbin/News,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,新闻推送TrendRadar,HTML,,,,公开源码仓库: https://github.com/shifengbin/News; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
hucares164/my-trendradar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/hucares164/my-trendradar,True,kept,buildable,50,GPL-3.0,每日热点自动采集推送,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/hucares164/my-trendradar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
yuxiaopeng/News,GitHub repo search,鸿蒙 PC Markdown,https://github.com/yuxiaopeng/News,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/yuxiaopeng/News; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
upinggo/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/upinggo/TrendRadar,True,kept,buildable,50,GPL-3.0,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 + RSS 订阅，支持关键词精准筛选。AI 翻译 + AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。","Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/upinggo/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
XGuider/TrendRadar_NEW,GitHub repo search,鸿蒙 PC Markdown,https://github.com/XGuider/TrendRadar_NEW,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,NEW,HTML,,,,公开源码仓库: https://github.com/XGuider/TrendRadar_NEW; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
JoeyEarlyToBed/TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/JoeyEarlyToBed/TrendRadar,True,kept,buildable,50,GPL-3.0,TrendRadar - AI舆情监控 (角色化仪表盘版),"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/JoeyEarlyToBed/TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
PrinzEugen8/AI_news,GitHub repo search,鸿蒙 PC Markdown,https://github.com/PrinzEugen8/AI_news,True,kept,buildable,50,GPL-3.0,,"Qt, Python",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/PrinzEugen8/AI_news; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
Pan-alvin/Pan-alvin-TrendRadar,GitHub repo search,鸿蒙 PC Markdown,https://github.com/Pan-alvin/Pan-alvin-TrendRadar,True,kept,buildable,50,GPL-3.0,,"Qt, HTML",qmake,,发现鸿蒙相关构建/工程线索: qmake,公开源码仓库: https://github.com/Pan-alvin/Pan-alvin-TrendRadar; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据,2026-06-30
zhangdongdong96/message_test,GitHub repo search,鸿蒙 PC Markdown,https://github.com/zhangdongdong96/message_test,False,filtered: missing HarmonyOS PC executable/build evidence,,25,GPL-3.0,,HTML,,,,公开源码仓库: https://github.com/zhangdongdong96/message_test; LICENSE: GPL-3.0; README 可访问; 源码目录结构可访问,缺少明确 PC 运行证据; 构建步骤不完整,2026-06-30
